Name,Short Name,Locale,Currency,Buy System ID
BEER WINE SPIRITS JMETER1,BWS1,en_AU,AUD,1020
BEER WINE SPIRITS JMETER2,BWS2,en_AU,AUD,1021
BEER WINE SPIRITS JMETER3,BWS3,en_AU,AUD,1022
BEER WINE SPIRITS JMETER4,BWS4,en_AU,AUD,1023
BEER WINE SPIRITS JMETER5,BWS5,en_AU,AUD,1024
BEER WINE SPIRITS JMETER6,BWS6,en_AU,AUD,1025
BEER WINE SPIRITS JMETER7,BWS7,en_AU,AUD,1026
BEER WINE SPIRITS JMETER8,BWS8,en_AU,AUD,1027
BEER WINE SPIRITS JMETER9,BWS9,en_AU,AUD,1028
BEER WINE SPIRITS JMETER10,BWS10,en_AU,AUD,1029
